name,handle_or_url,category,birth_year,platform,known_for,source_list
Danielle Cohn,https://en.wikipedia.org/wiki/Danielle_Cohn,Content creator,2004,YouTube/TikTok,Musical.ly and TikTok star; music; controversy over age,
James Charles,https://en.wikipedia.org/wiki/James_Charles,Beauty YouTuber,1999,YouTube,First male CoverGirl ambassador; makeup tutorials; massive following,
Nikita Dragun,https://en.wikipedia.org/wiki/Nikita_Dragun,Beauty YouTuber,1996,YouTube,Trans beauty influencer; Dragun Beauty brand,
Bretman Rock,https://en.wikipedia.org/wiki/Bretman_Rock,Beauty YouTuber,1998,YouTube/Instagram,Filipino-American beauty influencer; MTV reality show,
Patrick Starrr,https://en.wikipedia.org/wiki/Patrick_Starrr,Beauty YouTuber,1990,YouTube,Filipino-American beauty influencer; MAC collaboration,
Manny MUA,https://en.wikipedia.org/wiki/Manny_MUA,Beauty YouTuber,1994,YouTube,Male beauty influencer; Maybelline first male ambassador,
Jeffree Star,https://en.wikipedia.org/wiki/Jeffree_Star,Beauty YouTuber,1985,YouTube/MySpace,MySpace musician turned beauty mogul; Jeffree Star Cosmetics,
Simply Nailogical,https://en.wikipedia.org/wiki/Simply_Nailogical,Beauty YouTuber,1988,YouTube,Nail art; holo obsession; Canadian YouTuber,
Liza Koshy,https://en.wikipedia.org/wiki/Liza_Koshy,Content creator,1996,YouTube/Vine,Vine and YouTube star; actress; host,
Logan Paul,https://en.wikipedia.org/wiki/Logan_Paul,Content creator,1995,YouTube/Vine,Vine star; YouTube boxer; Impaulsive podcast,
Jake Paul,https://en.wikipedia.org/wiki/Jake_Paul,Content creator,1997,YouTube/Vine,Disney Channel; Team 10; boxing career,
RiceGum,https://en.wikipedia.org/wiki/RiceGum,Content creator,1996,YouTube,Diss-track YouTuber; early YouTube drama content,
Alissa Violet,https://en.wikipedia.org/wiki/Alissa_Violet,Content creator,1996,YouTube/Vine,Vine and YouTube; Team 10; CloutGang,
Tana Mongeau,https://en.wikipedia.org/wiki/Tana_Mongeau,Content creator,1998,YouTube,Storytime YouTuber; TanaCon; reality show,
Gabbie Hanna,https://en.wikipedia.org/wiki/Gabbie_Hanna,Content creator,1991,YouTube/Vine,Vine and YouTube creator; music and poetry,
Trisha Paytas,https://en.wikipedia.org/wiki/Trisha_Paytas,Content creator,1988,YouTube,Long-running YouTube personality; music; Frenemies podcast,
Shane Dawson,https://en.wikipedia.org/wiki/Shane_Dawson,Content creator,1988,YouTube,Early YouTube pioneer; documentary-style content,
Jenna Marbles,https://en.wikipedia.org/wiki/Jenna_Marbles,Content creator,1986,YouTube,Most-subscribed female YouTuber; early platform pioneer,
Colleen Ballinger,https://en.wikipedia.org/wiki/Colleen_Ballinger,Content creator,1986,YouTube,Created Miranda Sings; Netflix series,
Tyler Oakley,https://en.wikipedia.org/wiki/Tyler_Oakley,Content creator,1989,YouTube,Early YouTube LGBTQ advocate; mainstream crossover,
Connor Franta,https://en.wikipedia.org/wiki/Connor_Franta,Content creator,1992,YouTube,O2L member; bestselling author; coffee brand,
Kian Lawley,https://en.wikipedia.org/wiki/Kian_Lawley,Content creator,1995,YouTube,O2L member; actor in The Chosen,
JC Caylen,https://en.wikipedia.org/wiki/JC_Caylen,Content creator,1992,YouTube,O2L member; YouTube vlog pioneer,
Trevor Moran,https://en.wikipedia.org/wiki/Trevor_Moran,Content creator,1993,YouTube,O2L member; music career,
Gigi Gorgeous,https://en.wikipedia.org/wiki/Gigi_Gorgeous,Content creator,1992,YouTube,Transgender YouTube pioneer; documentary subject,
Eva Gutowski,https://en.wikipedia.org/wiki/Eva_Gutowski,Content creator,1994,YouTube,Lifestyle vlogger; MyLifeAsEva; author,
Safiya Nygaard,https://en.wikipedia.org/wiki/Safiya_Nygaard,Content creator,1992,YouTube,BuzzFeed video star; solo YouTube channel,
Simone Giertz,https://en.wikipedia.org/wiki/Simone_Giertz,Content creator,1991,YouTube,Shitty Robot queen; inventor; TED speaker,
Lindsey Stirling,https://en.wikipedia.org/wiki/Lindsey_Stirling,Music artist,1986,YouTube,Violinist; YouTube music pioneer; Billboard charting,
Todrick Hall,https://en.wikipedia.org/wiki/Todrick_Hall,Content creator,1985,YouTube,YouTube musical content; Broadway; American Idol,
Ryan Higa,https://en.wikipedia.org/wiki/Ryan_Higa,Content creator,1990,YouTube,NigaHiga; most-subscribed YouTube channel 2008-2013,
Kevin Wu,https://en.wikipedia.org/wiki/Kevin_Wu,Content creator,1990,YouTube,KevJumba; early YouTube Asian-American pioneer,
Ian Hecox,https://en.wikipedia.org/wiki/Ian_Hecox,Content creator,1987,YouTube,Smosh co-founder; one of YouTube's earliest channels,
Anthony Padilla,https://en.wikipedia.org/wiki/Anthony_Padilla,Content creator,1987,YouTube,Smosh co-founder; solo interview channel,
Freddie Wong,https://en.wikipedia.org/wiki/Freddiew,Content creator,1985,YouTube,Action VFX content; RocketJump; YouTube pioneer,
Philip DeFranco,https://en.wikipedia.org/wiki/Philip_DeFranco,Content creator,1985,YouTube,News commentary; one of YouTube's longest-running shows,
Ethan Klein,https://en.wikipedia.org/wiki/Ethan_Klein,Content creator,1985,YouTube,H3H3 Productions; h3 podcast; commentary channel,
MatPat,https://en.wikipedia.org/wiki/MatPat,Content creator,1986,YouTube,Game Theory; Film Theory; educational content empire,
Toby Turner,https://en.wikipedia.org/wiki/Toby_Turner,Content creator,1985,YouTube,Tobuscus; early YouTube gaming and vlog pioneer,
Bart Baker,https://en.wikipedia.org/wiki/Bart_Baker,Content creator,1986,YouTube,Music video parodies; YouTube's parody king,
ScottTheWoz,https://en.wikipedia.org/wiki/ScottTheWoz,Content creator,1997,YouTube,Gaming commentary; unique editing style,
Arin Hanson,https://en.wikipedia.org/wiki/Arin_Hanson,Content creator,1987,YouTube,Egoraptor; Game Grumps co-founder; animator,
JonTron,https://en.wikipedia.org/wiki/JonTron,Content creator,1990,YouTube,Game reviews; comedy; JonTronShow,
ProJared,https://en.wikipedia.org/wiki/ProJared,Content creator,1985,YouTube,Game reviews; D&D content,
Grace Helbig,https://en.wikipedia.org/wiki/Grace_Helbig,Content creator,1985,YouTube,DailyGrace; YouTube pioneer; E! talk show,
Hannah Hart,https://en.wikipedia.org/wiki/Hannah_Hart,Content creator,1986,YouTube,My Drunk Kitchen; YouTube pioneer; author,
Timothy DeLaGhetto,https://en.wikipedia.org/wiki/Timothy_DeLaGhetto,Content creator,1986,YouTube,Early YouTube comedian; Wild 'N Out cast,
Ricky Dillon,https://en.wikipedia.org/wiki/Ricky_Dillon,Content creator,1992,YouTube,O2L member; music career; YouTube vlog pioneer,
Ryland Adams,https://en.wikipedia.org/wiki/Ryland_Adams,Content creator,1991,YouTube,YouTube personality; Shane Dawson partner; podcast,
Garrett Watts,https://en.wikipedia.org/wiki/Garrett_Watts,Content creator,1989,YouTube,YouTube comedy; Shane Dawson collaborator,
Andrew Siwicki,https://en.wikipedia.org/wiki/Andrew_Siwicki,Content creator,1991,YouTube,YouTube cinematographer and creator; Shane Dawson team,
Rachel Ballinger,https://en.wikipedia.org/wiki/Rachel_Ballinger,Content creator,1991,YouTube,YouTube vlogger; Colleen Ballinger sister,
Bailey Sarian,https://en.wikipedia.org/wiki/Bailey_Sarian,Content creator,1986,YouTube,Murder Mystery & Makeup; true crime + beauty hybrid,
Vsauce,https://en.wikipedia.org/wiki/Michael_Stevens_(educator),Content creator,1986,YouTube,Vsauce educational channel; YouTube pioneer,
Amanda Steele,https://en.wikipedia.org/wiki/Amanda_Steele,Content creator,1998,YouTube/Instagram,Beauty and fashion; early YouTube; model,
Claudia Sulewski,https://en.wikipedia.org/wiki/Claudia_Sulewski,Content creator,1996,YouTube,Fashion and lifestyle; actress; YouTube pioneer,
Sara Dietschy,https://en.wikipedia.org/wiki/Sara_Dietschy,Content creator,1994,YouTube,Tech and lifestyle; YouTube creator,
Brandon Calvillo,https://en.wikipedia.org/wiki/Brandon_Calvillo,Content creator,1994,Vine/YouTube,Vine star; filmmaker; YouTube,
Brent Rivera,https://en.wikipedia.org/wiki/Brent_Rivera,Content creator,1998,YouTube/TikTok,Vine and YouTube creator; Amp Studios founder,
Larray,https://en.wikipedia.org/wiki/Larray,Content creator,1998,YouTube/TikTok,Comedic TikTok and YouTube content; music parodies,
Destin Conrad,https://en.wikipedia.org/wiki/Destin_Conrad,Content creator,1996,YouTube/TikTok,Lifestyle and comedy; YouTube; music,
Inanna Sarkis,https://en.wikipedia.org/wiki/Inanna_Sarkis,Content creator,1993,YouTube/Instagram,YouTube comedy; model; actress,
Meg Turney,https://en.wikipedia.org/wiki/Meg_Turney,Content creator,1987,YouTube,Cosplay; SourceFed; gaming content,
Jazz Jennings,https://en.wikipedia.org/wiki/Jazz_Jennings,Content creator,2000,TV/YouTube,Transgender activist; I Am Jazz TLC show; YouTube,
Cameron Dallas,https://en.wikipedia.org/wiki/Cameron_Dallas,Content creator,1994,Vine/YouTube,Vine star; Magcon tour; Netflix movie,
Nash Grier,https://en.wikipedia.org/wiki/Nash_Grier,Content creator,1997,Vine/YouTube,Vine star; Magcon tour,
Hayes Grier,https://en.wikipedia.org/wiki/Hayes_Grier,Content creator,2000,Vine/YouTube,Vine star; Magcon; Dancing with the Stars,
King Bach,https://en.wikipedia.org/wiki/King_Bach,Content creator,1988,Vine/YouTube,Most-followed Vine creator; actor,
Lele Pons,https://en.wikipedia.org/wiki/Lele_Pons,Content creator,1996,Vine/YouTube,Most-looped Viner; YouTube; music career,
Amanda Cerny,https://en.wikipedia.org/wiki/Amanda_Cerny,Content creator,1991,Vine/YouTube,Vine and YouTube star; model; actress,
Hannah Stocking,https://en.wikipedia.org/wiki/Hannah_Stocking,Content creator,1992,Vine/YouTube,Vine and YouTube creator; model,
Juanpa Zurita,https://en.wikipedia.org/wiki/Juanpa_Zurita,Content creator,1997,Vine/YouTube,Mexican Vine star; YouTube; model; actor,
Rudy Mancuso,https://en.wikipedia.org/wiki/Rudy_Mancuso,Content creator,1992,Vine/YouTube,Vine star; musician; YouTube,
Anwar Jibawi,https://en.wikipedia.org/wiki/Anwar_Jibawi,Content creator,1991,Vine/YouTube,Vine and YouTube comedy creator,
Thomas Sanders,https://en.wikipedia.org/wiki/Thomas_Sanders_(Internet_celebrity),Content creator,1989,Vine/YouTube,Vine star; YouTube; Broadway-style content,
Shawn Mendes,https://en.wikipedia.org/wiki/Shawn_Mendes,Music artist,1998,Vine,Vine singing covers; mainstream pop star by 17,
Jaiden Animations,https://en.wikipedia.org/wiki/Jaiden_Animations,Content creator,1997,YouTube,Animated story-time YouTuber; massive following,
TheOdd1sOut,https://en.wikipedia.org/wiki/TheOdd1sOut,Content creator,1996,YouTube,Animated story-time YouTuber; bestselling author,
Alan Becker,https://en.wikipedia.org/wiki/Alan_Becker,Content creator,1989,YouTube,Animator; Animator vs Animation series; massive views,
Domics,https://en.wikipedia.org/wiki/Domics,Content creator,1991,YouTube,Animated story-time YouTuber; webcomic artist,
Dream,https://en.wikipedia.org/wiki/Dream_(YouTuber),Content creator,1999,YouTube,Minecraft YouTuber; Dream SMP; massive following,
GeorgeNotFound,https://en.wikipedia.org/wiki/GeorgeNotFound,Content creator,1996,YouTube,Minecraft YouTuber; Dream SMP member,
Sapnap,https://en.wikipedia.org/wiki/Sapnap,Content creator,2001,YouTube,Minecraft YouTuber; Dream SMP member,
TommyInnit,https://en.wikipedia.org/wiki/TommyInnit,Content creator,2004,YouTube/Twitch,Minecraft content; Dream SMP; massive teenage following,
Tubbo,https://en.wikipedia.org/wiki/Tubbo_(streamer),Content creator,2003,Twitch/YouTube,Minecraft streamer; Dream SMP member,
Wilbur Soot,https://en.wikipedia.org/wiki/Wilbur_Soot,Content creator,1996,YouTube/Twitch,Minecraft content; Dream SMP; music career,
Technoblade,https://en.wikipedia.org/wiki/Technoblade,Content creator,1999,YouTube,Minecraft YouTuber; Dream SMP; posthumous legacy,
Ranboo,https://en.wikipedia.org/wiki/Ranboo,Content creator,2003,YouTube/Twitch,Minecraft content; Dream SMP member,
Nihachu,https://en.wikipedia.org/wiki/Nihachu,Content creator,2001,Twitch,Minecraft streamer; Dream SMP member,
Quackity,https://en.wikipedia.org/wiki/Quackity,Content creator,2000,YouTube/Twitch,Minecraft content; Dream SMP; Toontown raids,
Karl Jacobs,https://en.wikipedia.org/wiki/Karl_Jacobs,Content creator,1998,YouTube/Twitch,MrBeast team member; Minecraft content; Dream SMP,
Chris Tyson,https://en.wikipedia.org/wiki/Chris_Tyson,Content creator,1996,YouTube,MrBeast team member; long-time collaborator,
Corpse Husband,https://en.wikipedia.org/wiki/Corpse_Husband,Content creator,1997,YouTube,Faceless horror-narration YouTuber; music; Among Us,
Ninja,https://en.wikipedia.org/wiki/Ninja_(streamer),Twitch streamer,1991,Twitch,Most-followed Twitch streamer; Fortnite streaming pioneer,
Shroud,https://en.wikipedia.org/wiki/Shroud_(streamer),Twitch streamer,1994,Twitch,FPS streamer; CS:GO pro turned full-time streamer,
Tfue,https://en.wikipedia.org/wiki/Tfue,Twitch streamer,1998,Twitch,Fortnite streamer; FaZe Clan; legal battle with FaZe,
Pokimane,https://en.wikipedia.org/wiki/Pokimane,Twitch streamer,1996,Twitch,Most-followed female Twitch streamer; OfflineTV,
xQc,https://en.wikipedia.org/wiki/XQc,Twitch streamer,1995,Twitch,Overwatch pro turned mega-streamer; high-energy content,
Asmongold,https://en.wikipedia.org/wiki/Asmongold,Twitch streamer,1990,Twitch,World of Warcraft streamer; MMO category king,
Summit1g,https://en.wikipedia.org/wiki/Summit1g,Twitch streamer,1987,Twitch,Long-running variety streamer; CS:GO and Sea of Thieves,
TimTheTatman,https://en.wikipedia.org/wiki/TimTheTatman,Twitch streamer,1990,Twitch,Variety streamer; Call of Duty; mainstream gaming personality,
NICKMERCS,https://en.wikipedia.org/wiki/Nickmercs,Twitch streamer,1990,Twitch,Call of Duty streamer; FaZe Clan; console gaming advocate,
DrLupo,https://en.wikipedia.org/wiki/DrLupo,Twitch streamer,1985,Twitch,Fortnite and Destiny streamer; charity fundraising,
Valkyrae,https://en.wikipedia.org/wiki/Valkyrae,Twitch streamer,1992,Twitch/YouTube,Co-owner of 100 Thieves; top female streamer,
LilyPichu,https://en.wikipedia.org/wiki/LilyPichu,Twitch streamer,1991,Twitch,OfflineTV member; music and art content,
Disguised Toast,https://en.wikipedia.org/wiki/Disguised_Toast,Twitch streamer,1991,Twitch,Hearthstone streamer; OfflineTV; variety content,
Hasan Piker,https://en.wikipedia.org/wiki/Hasan_Piker,Twitch streamer,1991,Twitch,Political commentator; most-watched Just Chatting streamer,
Ludwig Ahgren,https://en.wikipedia.org/wiki/Ludwig_Ahgren,Twitch streamer,1995,Twitch/YouTube,Subathon record; Super Smash Bros commentary; Mogul Money,
MoistCr1TiKaL,https://en.wikipedia.org/wiki/MoistCr1TiKaL,Content creator,1994,YouTube/Twitch,Gaming commentary; esports team owner; variety content,
Kai Cenat,https://en.wikipedia.org/wiki/Kai_Cenat,Twitch streamer,2001,Twitch,Most-subscribed Twitch streamer; AMP member,
IShowSpeed,https://en.wikipedia.org/wiki/IShowSpeed,Content creator,2005,YouTube,Viral gaming and IRL streams; music career,
Adin Ross,https://en.wikipedia.org/wiki/Adin_Ross,Twitch streamer,2000,Twitch/YouTube,Streaming personality; celebrity collaborations,
Myth,https://en.wikipedia.org/wiki/Myth_(gamer),Twitch streamer,1999,Twitch,Fortnite streamer; TSM captain,
Scarra,https://en.wikipedia.org/wiki/Scarra,Twitch streamer,1989,Twitch,League of Legends pro; OfflineTV founder,
Sykkuno,https://en.wikipedia.org/wiki/Sykkuno,Twitch streamer,1992,Twitch,Among Us breakout; OfflineTV-adjacent; soft-spoken persona,
Fanum,https://en.wikipedia.org/wiki/Fanum,Content creator,1997,YouTube/Twitch,AMP member; food and gaming content,
Duke Dennis,https://en.wikipedia.org/wiki/Duke_Dennis,Content creator,1994,YouTube/Twitch,NBA 2K content; AMP member,
PointCrow,https://en.wikipedia.org/wiki/PointCrow,Content creator,1998,YouTube/Twitch,Zelda and challenge content; streaming,
SmallAnt,https://en.wikipedia.org/wiki/SmallAnt,Content creator,1996,YouTube/Twitch,Pokemon challenge runs; speedrunning,
Alpharad,https://en.wikipedia.org/wiki/Alpharad,Content creator,1996,YouTube,Smash Bros content; gaming commentary,
BoxBox,https://en.wikipedia.org/wiki/BoxBox,Twitch streamer,1994,Twitch,League of Legends streamer; music content,
QuarterJade,https://en.wikipedia.org/wiki/QuarterJade,Twitch streamer,1996,Twitch,Variety streamer; OfflineTV member,
Masayoshi,https://en.wikipedia.org/wiki/Masayoshi_(streamer),Twitch streamer,1995,Twitch,OfflineTV member; variety streaming,
Sydeon,https://en.wikipedia.org/wiki/Sydeon,Twitch streamer,1996,Twitch,OfflineTV member; variety streaming,
Fuslie,https://en.wikipedia.org/wiki/Fuslie,Twitch streamer,1992,Twitch,Among Us era; OfflineTV-adjacent; variety streamer,
FaZe Banks,https://en.wikipedia.org/wiki/FaZe_Banks,Content creator,1991,YouTube,FaZe Clan COO; gaming lifestyle content,
FaZe Rug,https://en.wikipedia.org/wiki/FaZe_Rug,Content creator,1996,YouTube,FaZe Clan member; gaming and vlog content,
FaZe Kay,https://en.wikipedia.org/wiki/FaZe_Kay,Content creator,1994,YouTube,FaZe Clan leader; gaming content,
FaZe Jarvis,https://en.wikipedia.org/wiki/FaZe_Jarvis,Content creator,2001,YouTube,FaZe Clan; Fortnite content; banned from Fortnite,
FaZe Adapt,https://en.wikipedia.org/wiki/FaZe_Adapt,Content creator,1995,YouTube,FaZe Clan member; gaming content,
FaZe Rain,https://en.wikipedia.org/wiki/FaZe_Rain,Content creator,1996,YouTube,FaZe Clan member; gaming content,
FaZe Blaze,https://en.wikipedia.org/wiki/FaZe_Blaze,Content creator,1996,YouTube,FaZe Clan member; gaming content,
FaZe Jev,https://en.wikipedia.org/wiki/FaZe_Jev,Content creator,1993,YouTube,FaZe Clan member; FPS gaming content,
FaZe Temperrr,https://en.wikipedia.org/wiki/FaZe_Temperrr,Content creator,1992,YouTube,FaZe Clan co-founder; gaming lifestyle,
FaZe Apex,https://en.wikipedia.org/wiki/FaZe_Apex,Content creator,1996,YouTube,FaZe Clan co-founder; gaming content,
Faker,https://en.wikipedia.org/wiki/Faker_(gamer),Esports pro,1996,League of Legends,Greatest LoL player of all time; world champion at 17,
Uzi,https://en.wikipedia.org/wiki/Uzi_(gamer),Esports pro,1997,League of Legends,Chinese LoL legend; world championship finalist at 17,
Rookie,https://en.wikipedia.org/wiki/Rookie_(gamer),Esports pro,1997,League of Legends,LCK/LPL mid-laner; world champion at 17,
JackeyLove,https://en.wikipedia.org/wiki/JackeyLove,Esports pro,2000,League of Legends,World champion at 18; IG bot laner,
Chovy,https://en.wikipedia.org/wiki/Chovy,Esports pro,2001,League of Legends,Elite LCK mid-laner; prodigy from teenage debut,
ShowMaker,https://en.wikipedia.org/wiki/ShowMaker,Esports pro,2000,League of Legends,LCK mid-laner; world championship semifinalist,
Canyon,https://en.wikipedia.org/wiki/Canyon_(gamer),Esports pro,2001,League of Legends,LCK jungler; world champion with DWG,
Keria,https://en.wikipedia.org/wiki/Keria,Esports pro,2002,League of Legends,LCK support prodigy; world championship finalist,
Gumayusi,https://en.wikipedia.org/wiki/Gumayusi,Esports pro,2002,League of Legends,T1 bot laner; world champion,
Rekkles,https://en.wikipedia.org/wiki/Rekkles,Esports pro,1996,League of Legends,European LoL bot laner; debuted professionally at 16,
Caps,https://en.wikipedia.org/wiki/Caps_(gamer),Esports pro,1999,League of Legends,European LoL mid-laner; world championship finalist,
Perkz,https://en.wikipedia.org/wiki/Perkz,Esports pro,1998,League of Legends,European LoL legend; MSI champion,
Bjergsen,https://en.wikipedia.org/wiki/Bjergsen,Esports pro,1996,League of Legends,NA LCS mid-laner; multiple-time MVP,
Doublelift,https://en.wikipedia.org/wiki/Doublelift,Esports pro,1993,League of Legends,NA LCS bot laner; longest-tenured pro,
Dyrus,https://en.wikipedia.org/wiki/Dyrus,Esports pro,1989,League of Legends,Early NA LCS top laner; TSM legend,
Sneaky,https://en.wikipedia.org/wiki/Sneaky_(gamer),Esports pro,1994,League of Legends,NA LCS bot laner; C9 world championship semifinalist,
WildTurtle,https://en.wikipedia.org/wiki/WildTurtle,Esports pro,1994,League of Legends,NA LCS bot laner; TSM; early LCS star,
Meteos,https://en.wikipedia.org/wiki/Meteos_(gamer),Esports pro,1993,League of Legends,NA LCS jungler; C9; early LCS star,
xPeke,https://en.wikipedia.org/wiki/XPeke,Esports pro,1992,League of Legends,European LoL legend; backdoor play; Origen founder,
s1mple,https://en.wikipedia.org/wiki/S1mple,Esports pro,1998,CS:GO,Greatest CS:GO player; major winner; HLTV #1 multiple times,
ZywOo,https://en.wikipedia.org/wiki/ZywOo,Esports pro,2000,CS:GO,French CS:GO prodigy; HLTV #1 at 19,
NiKo,https://en.wikipedia.org/wiki/NiKo_(gamer),Esports pro,1997,CS:GO,Bosnian-Serb CS:GO star; elite rifler,
device,https://en.wikipedia.org/wiki/Device_(gamer),Esports pro,1995,CS:GO,Danish CS:GO AWPer; 4-time major winner with Astralis,
coldzera,https://en.wikipedia.org/wiki/Coldzera,Esports pro,1991,CS:GO,Brazilian CS:GO star; back-to-back HLTV #1,
FalleN,https://en.wikipedia.org/wiki/FalleN,Esports pro,1991,CS:GO,Brazilian CS:GO godfather; major winner; gaming school,
N0tail,https://en.wikipedia.org/wiki/N0tail,Esports pro,1993,Dota 2,OG co-founder; two-time TI winner; Dota 2 legend,
Ceb,https://en.wikipedia.org/wiki/Ceb,Esports pro,1992,Dota 2,OG off-laner; two-time TI winner; motivational figure,
KuroKy,https://en.wikipedia.org/wiki/KuroKy,Esports pro,1992,Dota 2,German Dota 2 legend; TI winner with Team Liquid,
Puppey,https://en.wikipedia.org/wiki/Puppey,Esports pro,1990,Dota 2,Estonian Dota 2 captain; TI winner; Team Secret founder,
Dendi,https://en.wikipedia.org/wiki/Dendi,Esports pro,1989,Dota 2,Ukrainian Dota 2 icon; TI1 winner; Na'Vi legend,
Miracle-,https://en.wikipedia.org/wiki/Miracle-_(gamer),Esports pro,1997,Dota 2,Jordanian Dota 2 prodigy; TI winner; first 9K MMR player,
SumaiL,https://en.wikipedia.org/wiki/SumaiL,Esports pro,1999,Dota 2,Pakistani-American Dota 2 prodigy; TI winner at 16,
Arteezy,https://en.wikipedia.org/wiki/Arteezy,Esports pro,1996,Dota 2,Canadian Dota 2 star; EG; massive following,
Jaedong,https://en.wikipedia.org/wiki/Jaedong,Esports pro,1990,StarCraft,Korean Brood War legend; multiple OSL/MSL wins,
Flash,https://en.wikipedia.org/wiki/Flash_(StarCraft_player),Esports pro,1992,StarCraft,Greatest Brood War player; Bonjwa; turned pro at 15,
SonicFox,https://en.wikipedia.org/wiki/SonicFox,Esports pro,1997,Fighting games,Dominant FGC player; EVO champion across multiple games,
Hungrybox,https://en.wikipedia.org/wiki/Hungrybox,Esports pro,1993,Super Smash Bros,Melee Jigglypuff legend; multiple EVO wins,
Armada,https://en.wikipedia.org/wiki/Armada_(gamer),Esports pro,1993,Super Smash Bros,Swedish Melee legend; Fox/Peach main,
Mang0,https://en.wikipedia.org/wiki/Mang0,Esports pro,1990,Super Smash Bros,Melee legend; multiple EVO wins; streamer,
Mew2King,https://en.wikipedia.org/wiki/Mew2King,Esports pro,1989,Super Smash Bros,Melee and Brawl legend; data-driven player,
Bugha,https://en.wikipedia.org/wiki/Bugha_(gamer),Esports pro,2002,Fortnite,Fortnite World Cup solo champion at 16,
Clix,https://en.wikipedia.org/wiki/Clix_(gamer),Esports pro,2005,Fortnite,Fortnite pro; NRG; massive streaming following,
TenZ,https://en.wikipedia.org/wiki/TenZ,Esports pro,2001,Valorant,Valorant star; Sentinels; CS:GO crossover,
Sinatraa,https://en.wikipedia.org/wiki/Sinatraa,Esports pro,2000,Overwatch/Valorant,OW League MVP; Valorant pro,
Nairo,https://en.wikipedia.org/wiki/Nairo_(gamer),Esports pro,1996,Super Smash Bros,Smash 4 top player; major tournament winner,
Lil Nas X,https://en.wikipedia.org/wiki/Lil_Nas_X,Music artist,1999,Internet/TikTok,Old Town Road viral TikTok breakout; Billboard record,
Post Malone,https://en.wikipedia.org/wiki/Post_Malone,Music artist,1995,Internet/SoundCloud,White Iverson SoundCloud breakout; mainstream rap-pop star,
Doja Cat,https://en.wikipedia.org/wiki/Doja_Cat,Music artist,1995,Internet/SoundCloud,Moo! viral video; TikTok-driven hits; Grammy winner,
Clairo,https://en.wikipedia.org/wiki/Clairo,Music artist,1998,YouTube/Bandcamp,Pretty Girl DIY bedroom-pop video; lo-fi pioneer,
Cuco,https://en.wikipedia.org/wiki/Cuco_(musician),Music artist,1999,YouTube/SoundCloud,Chicano bedroom-pop; bilingual internet breakout,
Boy Pablo,https://en.wikipedia.org/wiki/Boy_Pablo,Music artist,1999,YouTube/Spotify,Norwegian bedroom-pop; Everytime algorithmic viral hit,
